Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Duration (min)
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Yes,Yes,Cognitive,49.0
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,Aptitude,36.0
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Yes,Yes,Aptitude,51.0
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No,Behavioral,30.0
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No,Behavioral,20.0
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,Aptitude,35.0
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No,Aptitude,45.0
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,Aptitude,45.0
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,Behavioral,43.0
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,Personality,49.0
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Yes,No,Aptitude,50.0
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,Yes,Yes,Behavioral,28.0
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Yes,No,Aptitude,0.0
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Yes,Yes,Knowledge,30.0
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Yes,No,Knowledge,17.0
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Yes,No,Knowledge,5.0
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Yes,No,Knowledge,11.0
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Yes,No,Knowledge,9.0
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Yes,No,Knowledge,5.0
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Yes,No,Knowledge,9.0
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Skills,8.0
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Yes,No,Knowledge,13.0
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Skills,8.0
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Yes,No,Knowledge,10.0
Claims/Operations Supervisor Solution,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,Yes,Yes,Personality,48.0
Contact Center Customer Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0/,Yes,No,Aptitude,41.0
Contact Center Customer Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Yes,No,Skills,31.0
Contact Center Manager - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-manager-short-form/,Yes,Yes,Aptitude,50.0
Contact Center Sales & Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/,Yes,No,Personality,41.0
Contact Center Sales & Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Yes,No,Skills,31.0
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Yes,Yes,Aptitude,45.0
Contact Centre Agent Solution - UK,https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk/,Yes,No,Aptitude,39.0
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form/,Yes,Yes,Aptitude,42.0
Customer Service - Short Form - UK,https://www.shl.com/products/product-catalog/view/customer-service-short-form-uk/,Yes,Yes,Aptitude,42.0
Customer Service with Sales - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/,Yes,Yes,Aptitude,44.0
Director - Short Form,https://www.shl.com/products/product-catalog/view/director-short-form/,Yes,Yes,Aptitude,69.0
District/Regional Manager Solution,https://www.shl.com/products/product-catalog/view/districtregional-manager-solution/,Yes,Yes,Aptitude,65.0
Entry Level Cashier 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,Yes,No,Behavioral,18.0
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Yes,No,Aptitude,18.0
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Yes,No,Cognitive,19.0
Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Yes,No,Cognitive,19.0
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Yes,No,Cognitive,19.0
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Yes,No,Behavioral,20.0
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,Yes,No,Personality,20.0
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Yes,No,Cognitive,20.0
Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,Yes,Yes,Skills,50.0
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,Yes,Yes,Aptitude,74.0
Financial Professional - Short Form,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,Yes,No,Aptitude,35.0
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,Yes,No,Aptitude,44.0
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,Yes,Yes,Aptitude,50.0
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,Yes,Yes,Aptitude,50.0
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,Yes,Yes,Skills,55.0
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Yes,No,Behavioral,19.0
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Yes,No,Behavioral,19.0
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes,No,Behavioral,19.0
General Entry Level â€“ Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes,No,Behavioral,24.0
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,Yes,No,Aptitude,30.0
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes,No,Behavioral,19.0
Graduate 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes,No,Personality,20.0
Guest Service Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/,Yes,No,Behavioral,18.0
Guest Services Associate Solution,https://www.shl.com/products/product-catalog/view/guest-services-associate-solution/,Yes,Yes,Aptitude,48.0
Healthcare Aide 7.0 Solution,https://www.shl.com/products/product-catalog/view/healthcare-aide-7-0-solution/,Yes,No,Behavioral,22.0
Healthcare Call Center Agent Solution,https://www.shl.com/products/product-catalog/view/healthcare-call-center-agent-solution/,Yes,Yes,Aptitude,44.0
Healthcare Service Associate Solution,https://www.shl.com/products/product-catalog/view/healthcare-service-associate-solution/,Yes,Yes,Aptitude,37.0
Healthcare Support Specialist Solution,https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,Yes,Yes,Aptitude,30.0
Home Health Aide Solution,https://www.shl.com/products/product-catalog/view/home-health-aide-solution/,Yes,Yes,Aptitude,41.0
Hospitality Manager Solution,https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,Yes,Yes,Aptitude,57.0
Host Solution,https://www.shl.com/products/product-catalog/view/host-solution/,Yes,Yes,Behavioral,30.0
Industrial - Entry Level 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/,Yes,No,Behavioral,20.0
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Yes,No,Behavioral,20.0
Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,Yes,No,Behavioral,20.0
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Yes,Yes,Aptitude,49.0
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Yes,No,Behavioral,24.0
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Yes,No,Behavioral,24.0
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Yes,No,Aptitude,49.0
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Yes,No,Aptitude,49.0
Installation and Repair Technician Solution,https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,Yes,Yes,Aptitude,49.0
Insurance Account Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/,Yes,Yes,Aptitude,48.0
Insurance Administrative Assistant Solution,https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/,Yes,Yes,Aptitude,24.0
Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/insurance-agent-solution/,Yes,Yes,Aptitude,46.0
Insurance Director Solution,https://www.shl.com/products/product-catalog/view/insurance-director-solution/,Yes,Yes,Aptitude,49.0
Insurance Sales Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,Yes,Yes,Aptitude,51.0
Manager - Short Form,https://www.shl.com/products/product-catalog/view/manager-short-form/,Yes,Yes,Aptitude,57.0
Manager + 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/,Yes,Yes,Aptitude,53.0
Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,Yes,Yes,Behavioral,63.0
Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,Yes,Yes,Behavioral,63.0
Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,Yes,No,Behavioral,35.0
Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,Yes,No,Behavioral,40.0
Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,Yes,No,Behavioral,40.0
Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,Yes,No,Behavioral,26.0
Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,Yes,No,Behavioral,44.0
Manufacturing Production Team Member,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/,Yes,No,Aptitude,35.0
Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Yes,No,Aptitude,45.0
Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,Yes,Yes,Personality,41.0
Nurse Leader Solution,https://www.shl.com/products/product-catalog/view/nurse-leader-solution/,Yes,Yes,Skills,59.0
Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution/,Yes,Yes,Personality,66.0
Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,Yes,No,Aptitude,41.0
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,Yes,No,Aptitude,30.0
Phone Banker - Short Form,https://www.shl.com/products/product-catalog/view/phone-banker-short-form/,Yes,No,Aptitude,40.0
Prep/Line Cook Solution,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,Yes,Yes,Aptitude,24.0
Professional + 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution-3958/,Yes,Yes,Aptitude,51.0
Professional + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/professional-7-1-%28americas%29/,Yes,Yes,Behavioral,56.0
Professional + 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,Yes,Yes,Behavioral,56.0
Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/professional-7-0-solution/,Yes,No,Behavioral,33.0
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,Yes,No,Cognitive,33.0
Professional 8.0 JFA,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,Yes,No,Behavioral,16.0
Professional/Individual Contributor - Short Form,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,Yes,Yes,Aptitude,44.0
Project Manager - Short Form,https://www.shl.com/products/product-catalog/view/project-manager-short-form/,Yes,Yes,Aptitude,49.0
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Yes,No,Skills,30.0
Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,Yes,Yes,Aptitude,43.0
Restaurant Manager Solution,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,Yes,Yes,Aptitude,48.0
Restaurant Supervisor Solution,https://www.shl.com/products/product-catalog/view/restaurant-supervisor-solution/,Yes,Yes,Aptitude,53.0
Retail Consultant Solution,https://www.shl.com/products/product-catalog/view/retail-consultant-solution/,Yes,Yes,Aptitude,45.0
Retail Manager w/ Sales Solution,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,Yes,Yes,Aptitude,43.0
Retail Sales Associate Solution,https://www.shl.com/products/product-catalog/view/retail-sales-associate-solution/,Yes,Yes,Aptitude,29.0
Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,Yes,Yes,Aptitude,59.0
Sales Engineer Solution,https://www.shl.com/products/product-catalog/view/sales-engineer-solution/,Yes,Yes,Aptitude,61.0
Sales Manager Solution,https://www.shl.com/products/product-catalog/view/sales-manager-solution/,Yes,Yes,Aptitude,63.0
Sales Professional 7.0 Solution,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,Yes,No,Cognitive,21.0
Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,Yes,No,Behavioral,21.0
Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,Yes,Yes,Aptitude,47.0
Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,Yes,Yes,Aptitude,29.0
Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,Yes,Yes,Aptitude,38.0
Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,Yes,Yes,Aptitude,43.0
Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,Yes,No,Aptitude,44.0
Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,Yes,Yes,Aptitude,42.0
Server Solution,https://www.shl.com/products/product-catalog/view/server-solution/,Yes,Yes,Behavioral,40.0
Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,Yes,Yes,Aptitude,38.0
Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,Yes,Yes,Aptitude,48.0
Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,Yes,No,Aptitude,25.0
Store Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,Yes,No,Behavioral,34.0
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,Yes,No,Behavioral,34.0
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,Yes,No,Cognitive,34.0
Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,Yes,Yes,Aptitude,49.0
Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,Yes,Yes,Skills,57.0
Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,Yes,No,Behavioral,32.0
Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,Yes,No,Behavioral,29.0
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,Yes,No,Personality,29.0
Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,Yes,Yes,Aptitude,38.0
Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,Yes,Yes,Aptitude,39.0
Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,Yes,No,Aptitude,41.0
Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,Yes,Yes,Aptitude,52.0
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,Yes,No,Cognitive,16.0
Telenurse Solution,https://www.shl.com/products/product-catalog/view/telenurse-solution/,Yes,Yes,Aptitude,68.0
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,Yes,Yes,Behavioral,35.0
Teller with Sales - Short Form,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/,Yes,No,Aptitude,35.0
Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,Yes,Yes,Aptitude,33.0
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,Yes,No,Behavioral,16.0
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,Yes,No,Behavioral,16.0
Workplace Safety - Team 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,Yes,No,Behavioral,20.0
Workplace Safety - Team 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,Yes,No,Behavioral,20.0
Workplace Safety - Team 7.1 (International),https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,Yes,No,Behavioral,20.0
Workplace Safety Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-solution/,Yes,Yes,Behavioral,21.0
